			GMRT Grid Version 3.4
Longitude	Latitude	Distance (km)	Elevation (m)
-160.0125	53.5787	160.58215	-6416.5713
-160.0153	53.583954	161.19507	-6528.1313
-160.01811	53.589207	161.80798	-6581.0293
-160.02092	53.594463	162.4209	-6636.7373
-160.02373	53.599716	163.03381	-6683.288
-160.02654	53.60497	163.64673	-6685.302
-160.02936	53.61022	164.25964	-6656.327
-160.03217	53.615475	164.87256	-6577.9326
-160.03497	53.620728	165.48547	-6472.3027
-160.0378	53.625984	166.09839	-6353.111
-160.0406	53.631237	166.7113	-6321.3896
-160.04343	53.63649	167.32422	-6295.666
-160.04623	53.641743	167.93713	-6267.0737
-160.04906	53.646996	168.55005	-6241.012
-160.05186	53.65225	169.16296	-6137.504
-160.05469	53.6575	169.77588	-5996.8022
-160.05751	53.662754	170.3888	-5902.161
-160.06032	53.668007	171.00171	-5811.249
-160.06314	53.67326	171.61462	-5721.4937
-160.06596	53.678513	172.22754	-5690.216
-160.06879	53.683765	172.84045	-5674.489
-160.07161	53.68902	173.45337	-5650.275
-160.07443	53.69427	174.06628	-5632.2744
-160.07726	53.699524	174.6792	-5636.364
-160.08008	53.704777	175.29211	-5633.116
-160.0829	53.710026	175.90503	-5629.917
-160.08572	53.71528	176.51794	-5648.14
-160.08856	53.72053	177.13086	-5665.6157
-160.09138	53.725784	177.74377	-5671.9106
-160.09421	53.731037	178.35669	-5592.3203
-160.09703	53.73629	178.9696	-5410.1885
-160.09987	53.74154	179.58252	-5229.415
-160.10269	53.74679	180.19543	-5125.4473
-160.10553	53.752045	180.80835	-5028.794
-160.10835	53.757294	181.42126	-4906.0483
-160.11119	53.762547	182.03418	-4801.145
-160.11403	53.7678	182.6471	-4733.9414
-160.11685	53.77305	183.26001	-4668.8013
-160.11969	53.7783	183.87292	-4619.5923
-160.12253	53.783554	184.48584	-4509.1514
-160.12537	53.788803	185.09875	-4426.871
-160.12819	53.794056	185.71167	-4340.636
-160.13103	53.799305	186.32458	-4300.7715
-160.13387	53.804558	186.9375	-4283.238
-160.1367	53.809807	187.55042	-4279.7427
-160.13954	53.81506	188.16333	-4274.3706
-160.14238	53.82031	188.77625	-4270.9966
-160.14523	53.82556	189.38916	-4242.39
-160.14807	53.83081	190.00208	-4208.2935
-160.15091	53.836063	190.61499	-4169.9653
-160.15375	53.841312	191.2279	-4136.823
-160.1566	53.846565	191.84082	-4099.923
-160.15944	53.851814	192.45374	-4054.549
-160.16228	53.857063	193.06665	-4016.2654
-160.16513	53.862316	193.67957	-3979.7449
-160.16797	53.867565	194.29248	-3939.8457
-160.17082	53.872814	194.9054	-3888.7922
-160.17368	53.878067	195.51831	-3832.8826
-160.17651	53.883316	196.13123	-3758.4475
-160.17937	53.888565	196.74414	-3678.3066
-160.18222	53.893818	197.35706	-3611.6458
-160.18507	53.899067	197.96997	-3535.7292
-160.18791	53.904316	198.58289	-3465.3562
-160.19077	53.909565	199.1958	-3570.912
-160.19362	53.914814	199.80872	-3481.6755
-160.19647	53.920063	200.42163	-3423.7708
-160.19933	53.925316	201.03455	-3395.5042
-160.20218	53.930565	201.64746	-3377.6519
-160.20503	53.935814	202.26038	-3404.8467
-160.2079	53.941063	202.87329	-3397.3037
-160.21075	53.946312	203.4862	-3380.2026
-160.21361	53.95156	204.09912	-3390.224
-160.21646	53.95681	204.71204	-3364.8457
-160.21933	53.96206	205.32495	-3354.045
-160.22218	53.967308	205.93787	-3345.8696
-160.22505	53.972557	206.55078	-3313.9526
-160.2279	53.977806	207.1637	-3288.2695
-160.23077	53.983055	207.77661	-3217.4275
-160.23363	53.988304	208.38953	-3130.49
-160.2365	53.993553	209.00244	-3077.424
-160.23936	53.998802	209.61536	-3034.8716
-160.24222	54.00405	210.22827	-2989.802
-160.24509	54.009296	210.84119	-2942.0554
-160.24796	54.014545	211.4541	-2826.1382
-160.25082	54.019794	212.06702	-2614.5356
-160.2537	54.025043	212.67993	-2390.2415
-160.25656	54.030293	213.29285	-2230.8955
-160.25943	54.035538	213.90576	-2131.3877
-160.2623	54.040787	214.51868	-2071.513
-160.26517	54.046036	215.13159	-2034.149
-160.26804	54.051285	215.7445	-1970.2916
-160.2709	54.05653	216.35742	-1964.0383
-160.27379	54.06178	216.97034	-2012.9211
-160.27666	54.067028	217.58325	-1988.9769
-160.27953	54.072273	218.19617	-2012.4556
-160.28241	54.077522	218.80908	-2087.9724
-160.28528	54.08277	219.422	-2126.1978
-160.28816	54.088017	220.03491	-2097.2542
-160.29103	54.093266	220.64783	-2082.8528
-160.29391	54.09851	221.26074	-2005.9052
-160.2968	54.10376	221.87366	-1898.2352
-160.29967	54.109005	222.48657	-1792.0891
-160.30255	54.114254	223.09949	-1717.7246
-160.30544	54.1195	223.7124	-1655.5428
-160.30832	54.12475	224.32532	-1594.815
-160.3112	54.129993	224.93823	-1564.5668
-160.31407	54.135242	225.55115	-1552.534
-160.31696	54.140488	226.16406	-1526.2971
-160.31984	54.145733	226.77698	-1500.8372
-160.32274	54.15098	227.3899	-1500.0839
-160.32562	54.156227	228.0028	-1519.287
-160.3285	54.161472	228.61572	-1550.6971
-160.33139	54.16672	229.22864	-1584.9034
-160.33427	54.171967	229.84155	-1616.1028
-160.33717	54.17721	230.45447	-1639.8126
-160.34006	54.18246	231.06738	-1664.2563
-160.34294	54.187706	231.6803	-1684.705
-160.34584	54.19295	232.29321	-1690.9353
-160.34872	54.198196	232.90613	-1514.8226
-160.35162	54.20344	233.51904	-1134.1884
-160.35452	54.20869	234.13196	-780.5627
-160.3574	54.213936	234.74487	-583.01935
-160.3603	54.21918	235.35779	-537.36975
-160.3632	54.224426	235.9707	-538.24854
-160.36609	54.22967	236.58362	-583.0427
-160.36899	54.234917	237.19653	-571.5261
-160.37189	54.24016	237.80945	-562.70404
-160.37479	54.245407	238.42236	-542.26276
-160.37769	54.250652	239.03528	-512.0255
-160.38058	54.255898	239.6482	-481.45575
-160.38348	54.261143	240.26111	-454.31442
-160.38638	54.266388	240.87402	-420.6597
-160.3893	54.271633	241.48694	-379.12677
-160.3922	54.27688	242.09985	-356.56317
-160.3951	54.282124	242.71277	-328.105
-160.398	54.28737	243.32568	-292.94965
-160.40091	54.292614	243.9386	-261.16452
-160.40381	54.29786	244.55151	-234.70033
-160.40672	54.303104	245.16443	-210.61554
-160.40962	54.308346	245.77734	-186.95717
-160.41254	54.31359	246.39026	-166.90852
-160.41544	54.318836	247.00317	-151.89328
-160.41835	54.32408	247.61609	-139.1233
-160.42126	54.329323	248.229	-129.00943
-160.42418	54.334568	248.84192	-123.69082
-160.42708	54.339813	249.45483	-121.82308
-160.43	54.34506	250.06775	-121.08583
-160.4329	54.3503	250.68066	-120.85689
-160.43582	54.355545	251.29358	-120.87594
-160.43874	54.36079	251.9065	-123.12665
-160.44165	54.36603	252.51941	-124.75117
-160.44456	54.371277	253.13232	-124.91634
-160.44748	54.37652	253.74524	-124.99977
-160.45041	54.381763	254.35815	-125.414154
-160.45332	54.38701	254.97107	-126.5128
-160.45624	54.39225	255.58398	-127.16355
-160.45917	54.397495	256.1969	-129.0834
-160.46208	54.402737	256.8098	-131.49425
-160.465	54.40798	257.42273	-132.63481
-160.46793	54.413223	258.03564	-132.11604
-160.47084	54.418465	258.64856	-130.0753
-160.47377	54.42371	259.26147	-127.088806
-160.4767	54.42895	259.8744	-124.14371
-160.47961	54.434196	260.4873	-120.956604
-160.48254	54.439438	261.10022	-119.65066
-160.48547	54.44468	261.71313	-119.07893
-160.4884	54.449924	262.32605	-124.38712
-160.49133	54.455166	262.93896	-131.18834
-160.49426	54.460407	263.55188	-139.02094
-160.4972	54.465652	264.1648	-143.32747
-160.50012	54.470894	264.7777	-144.365
-160.50305	54.476135	265.39062	-142.48236
-160.50598	54.481377	266.00354	-136.72482
-160.50891	54.486618	266.61646	-129.23279
-160.51184	54.491863	267.22937	-120.93266
-160.51479	54.497105	267.8423	-112.86822
-160.51772	54.502346	268.4552	-105.28833
-160.52065	54.507587	269.0681	-98.62914
-160.52359	54.51283	269.68103	-98.70342
-160.52652	54.51807	270.29395	-109.67815
-160.52946	54.52331	270.90686	-120.04921
-160.5324	54.528553	271.51978	-128.48299
-160.53534	54.533794	272.1327	-135.95454
-160.53828	54.539036	272.7456	-141.89163
-160.54121	54.544277	273.35852	-144.17404
-160.54416	54.54952	273.97144	-144.65546
-160.5471	54.55476	274.58435	-144.23907
-160.55005	54.56	275.19727	-142.70587
-160.553	54.565243	275.81018	-141.37187
-160.55594	54.570484	276.4231	-139.8238
-160.55888	54.575726	277.036	-138.32117
-160.56183	54.580967	277.64893	-136.3732
-160.56477	54.58621	278.26184	-133.4682
-160.56772	54.591446	278.87476	-131.26555
-160.57066	54.596687	279.48767	-131.10913
-160.57362	54.60193	280.1006	-130.24814
-160.57657	54.60717	280.7135	-128.17079
-160.57951	54.61241	281.32642	-126.02639
-160.58247	54.61765	281.93933	-125.068054
-160.58542	54.62289	282.55225	-123.026596
-160.58838	54.62813	283.16516	-121.618515
-160.59132	54.63337	283.77808	-119.90706
-160.59428	54.63861	284.391	-117.86829
-160.59724	54.643852	285.0039	-116.82963
-160.60019	54.64909	285.61682	-115.83449
-160.60315	54.65433	286.22974	-113.85698
-160.60611	54.65957	286.84265	-113.62572
-160.60907	54.66481	287.45557	-112.246605
-160.61203	54.670048	288.06848	-110.8471
-160.61499	54.67529	288.6814	-110.67074
-160.61795	54.68053	289.2943	-110.9132
-160.62091	54.68577	289.90723	-109.83317
-160.62387	54.691006	290.52014	-109.55457
-160.62683	54.696247	291.13306	-109.16105
-160.62979	54.701485	291.74597	-108.95303
-160.63277	54.706726	292.3589	-109.187225
-160.63573	54.711964	292.9718	-109.935135
-160.63869	54.7172	293.58472	-109.94557
-160.64166	54.722443	294.19763	-109.596825
-160.64462	54.72768	294.81055	-109.07258
-160.6476	54.732918	295.42346	-109.03156
-160.65056	54.73816	296.03638	-109.116516
-160.65353	54.743397	296.6493	-108.95986
-160.65651	54.748634	297.2622	-108.31724
-160.65947	54.753876	297.87512	-108.02694
-160.66245	54.759113	298.48804	-107.824196
-160.66542	54.76435	299.10095	-109.053635
-160.6684	54.76959	299.71387	-109.50144
-160.67137	54.774826	300.32678	-109.87764
-160.67435	54.780064	300.9397	-110.04286
-160.67732	54.785305	301.5526	-110.49727
-160.6803	54.790543	302.16553	-110.90276
-160.68327	54.79578	302.77844	-110.1226
-160.68625	54.801018	303.39136	-109.94893
-160.68922	54.806255	304.00427	-108.84711
-160.69221	54.811493	304.6172	-106.666855
-160.69519	54.81673	305.2301	-104.031166
-160.69817	54.821968	305.84302	-101.551506
-160.70116	54.827206	306.45593	-97.886566
-160.70413	54.832443	307.06885	-92.63482
-160.70712	54.83768	307.68176	-86.69264
-160.7101	54.84292	308.29468	-81.1893
-160.71309	54.848156	308.9076	-76.032074
-160.71608	54.85339	309.5205	-71.38463
-160.71907	54.858627	310.13342	-67.41719
-160.72205	54.863865	310.74634	-65.567764
-160.72504	54.869102	311.35925	-65.08996
-160.72803	54.87434	311.97217	-66.774574
-160.73102	54.879574	312.58508	-70.2576
-160.73401	54.88481	313.198	-72.58378
-160.737	54.89005	313.8109	-74.32339
-160.73999	54.895287	314.42383	-74.87222
-160.74298	54.90052	315.03674	-74.23895
-160.74597	54.905758	315.64966	-73.85122
-160.74898	54.910995	316.26257	-73.33799
-160.75197	54.91623	316.8755	-70.62202
-160.75496	54.921467	317.4884	-68.754295
-160.75797	54.926704	318.10132	-72.05134
-160.76096	54.93194	318.71423	-76.95916
-160.76396	54.937176	319.32715	-82.048485
-160.76695	54.94241	319.94006	-87.3912
-160.76996	54.947647	320.55298	-91.33449
-160.77296	54.95288	321.1659	-94.35674
-160.77596	54.95812	321.7788	-96.58977
-160.77896	54.963352	322.39172	-98.03045
-160.78197	54.96859	323.00464	-97.006615
-160.78497	54.973824	323.61755	-95.54116
-160.78798	54.97906	324.23047	-92.97132
-160.79099	54.984295	324.84338	-88.0057
-160.79399	54.98953	325.4563	-82.723015
-160.797	54.994766	326.0692	-80.59852
-160.8	55.0	326.68213	-80.94953
